epoch2g step in cur epoch 24losstf.Tensor(1.4678085, shape=(), dtype=float32)
avg loss=tf.Tensor(0.8235678, shape=(), dtype=float32)
epoch3g step in cur epoch 0losstf.Tensor(0.45328736, shape=(), dtype=float32)
epoch3g step in cur epoch 1losstf.Tensor(0.477323, shape=(), dtype=float32)
epoch3g step in cur epoch 2losstf.Tensor(0.48222625, shape=(), dtype=float32)
epoch3g step in cur epoch 3losstf.Tensor(0.45905954, shape=(), dtype=float32)
epoch3g step in cur epoch 4losstf.Tensor(0.43083453, shape=(), dtype=float32)
epoch3g step in cur epoch 5losstf.Tensor(0.4023626, shape=(), dtype=float32)
epoch3g step in cur epoch 6losstf.Tensor(0.5436566, shape=(), dtype=float32)
epoch3g step in cur epoch 7losstf.Tensor(0.5654726, shape=(), dtype=float32)
epoch3g step in cur epoch 8losstf.Tensor(0.51498675, shape=(), dtype=float32)
epoch3g step in cur epoch 9losstf.Tensor(0.57462037, shape=(), dtype=float32)
epoch3g step in cur epoch 10losstf.Tensor(0.62495613, shape=(), dtype=float32)
epoch3g step in cur epoch 11losstf.Tensor(0.6510855, shape=(), dtype=float32)
epoch3g step in cur epoch 12losstf.Tensor(0.5073787, shape=(), dtype=float32)
epoch3g step in cur epoch 13losstf.Tensor(0.44543764, shape=(), dtype=float32)
epoch3g step in cur epoch 14losstf.Tensor(0.5668121, shape=(), dtype=float32)
epoch3g step in cur epoch 15losstf.Tensor(0.5107554, shape=(), dtype=float32)
epoch3g step in cur epoch 16losstf.Tensor(0.3580302, shape=(), dtype=float32)
epoch3g step in cur epoch 17losstf.Tensor(0.5421447, shape=(), dtype=float32)
epoch3g step in cur epoch 18losstf.Tensor(0.5798072, shape=(), dtype=float32)
epoch3g step in cur epoch 19losstf.Tensor(0.58032596, shape=(), dtype=float32)
epoch3g step in cur epoch 20losstf.Tensor(0.40661314, shape=(), dtype=float32)
epoch3g step in cur epoch 21losstf.Tensor(0.41954175, shape=(), dtype=float32)
epoch3g step in cur epoch 22losstf.Tensor(0.35785815, shape=(), dtype=float32)
epoch3g step in cur epoch 23losstf.Tensor(0.36373398, shape=(), dtype=float32)
epoch3g step in cur epoch 24losstf.Tensor(0.49173382, shape=(), dtype=float32)
avg loss=tf.Tensor(0.49240172, shape=(), dtype=float32)
epoch4g step in cur epoch 0losstf.Tensor(0.45657963, shape=(), dtype=float32)
epoch4g step in cur epoch 1losstf.Tensor(0.42157638, shape=(), dtype=float32)
epoch4g step in cur epoch 2losstf.Tensor(0.4472776, shape=(), dtype=float32)
epoch4g step in cur epoch 3losstf.Tensor(0.5033258, shape=(), dtype=float32)
epoch4g step in cur epoch 4losstf.Tensor(0.52142125, shape=(), dtype=float32)
epoch4g step in cur epoch 5losstf.Tensor(0.66040254, shape=(), dtype=float32)
epoch4g step in cur epoch 6losstf.Tensor(0.5443943, shape=(), dtype=float32)
epoch4g step in cur epoch 7losstf.Tensor(0.5353543, shape=(), dtype=float32)
